"","taxa_name","ZIG_grouping","other_grouping","genus","species","invasive"
"1","Ascomorpha ecaudis","rotifer",NA,"Ascomorpha","ecaudis","n"
"2","Asplanchna priodonta","rotifer",NA,"Asplanchna","priodonta","n"
"3","Bosmina longirostris","bosmina",NA,"Bosmina","longirostris","n"
"4","Brachionus angularis","rotifer",NA,"Brachionus","angularis","n"
"5","Brachionus diversicornis","rotifer",NA,"Brachionus","diversicornis","n"
"6","Cephalodella gibba","rotifer",NA,"Cephalodella","gibba","n"
"7","Cephalodella gr. ventripes","rotifer",NA,"Cephalodella",NA,"n"
"8","Cephalodella megalocephala","rotifer",NA,"Cephalodella","megalocephala","n"
"9","Cephalodella sp.","rotifer",NA,"Cephalodella",NA,"n"
"10","Cyclopoida copepoditi","cyclopoid",NA,"Cyclopoida","copepoditi","n"
"11","Cyclops strenuus","cyclopoid",NA,"Cyclops","strenuus","n"
"12","Daphnia gr. longispina","daphnia",NA,"Daphnia",NA,"n"
"13","Euchlanis dilatata","rotifer",NA,"Euchlanis","dilatata","n"
"14","Filinia longiseta","rotifer",NA,"Filinia","longiseta","n"
"15","Filinia terminalis","rotifer",NA,"Filinia","terminalis","n"
"16","Gastropus stylifer","rotifer",NA,"Gastropus","stylifer","n"
"17","Keratella cochlearis","rotifer",NA,"Keratella","cochlearis","n"
"18","Keratella hiemalis","rotifer",NA,"Keratella","hiemalis","n"
"19","Lecane closterocerca","rotifer",NA,"Lecane","closterocerca","n"
"20","Lecane flexilis","rotifer",NA,"Lecane","flexilis","n"
"21","Lecane gr. lunaris","rotifer",NA,"Lecane",NA,"n"
"22","Lecane luna","rotifer",NA,"Lecane","luna","n"
"23","Lecane subtilis","rotifer",NA,"Lecane","subtilis","n"
"24","Lepadella patella","rotifer",NA,"Lepadella","patella","n"
"25","Lepatella sp.","rotifer",NA,"Lepatella",NA,"n"
"26","nauplii","nauplii",NA,NA,NA,"n"
"27","Notholca gr labis acuminata","rotifer",NA,"Notholca",NA,"n"
"28","Notholca squamula","rotifer",NA,"Notholca","squamula","n"
"29","Polyarthra dolichoptera","rotifer",NA,"Polyarthra","dolichoptera","n"
"30","Synchaeta gr. stylata pectinata","rotifer",NA,"Synchaeta",NA,"n"
"31","Synchaeta grandis","rotifer",NA,"Synchaeta","grandis","n"
"32","Synchaeta kitina","rotifer",NA,"Synchaeta","kitina","n"
"33","Synchaeta lakowitziana","rotifer",NA,"Synchaeta","lakowitziana","n"
"34","Synchaeta trem/obl","rotifer",NA,"Synchaeta","tremula/oblonga","n"
"35","Testudinella patina","rotifer",NA,"Testudinella","patina","n"
"36","Trichocerca cavia","rotifer",NA,"Trichocerca","cavia","n"
"37","Trichocerca longiseta","rotifer",NA,"Trichocerca","longiseta","n"
